댓글갯수,댓글 성실도,쿠팡비율,댓글 길이 평균,리뷰 작성 일수,알바여부
17,0.2352941176470588,0.4117647058823529,44.25,5,0
10,0.2,0.6,14.5,5,0
118,0.9661016949152542,0.8898305084745762,325.5175438596491,14,0
189,1.0,0.7407407407407407,98.78835978835978,69,0
102,0.0098039215686274,0.8235294117647058,7.0,66,0
25,0.84,0.88,733.5714285714286,18,0
18,0.0,0.7222222222222222,0.0,1,0
18,0.2222222222222222,1.0,40.75,4,0
27,0.037037037037037,0.1851851851851851,8.0,2,0
25,0.0,0.76,0.0,4,0
5,0.2,0.6,468.0,2,0
38,0.0,0.8421052631578947,0.0,5,0
18,0.0,0.3888888888888889,0.0,4,0
3,0.3333333333333333,0.6666666666666666,10.0,2,0
2,0.5,1.0,5.0,1,0
33,0.0,0.7575757575757576,0.0,21,0
4,1.0,0.75,273.0,2,0
12,0.1666666666666666,0.3333333333333333,13.5,6,0
10,0.8,0.8,65.375,3,0
305,0.1836065573770491,0.7836065573770492,148.23214285714286,37,0
439,0.0250569476082004,0.9498861047835992,16.09090909090909,9,0
5,0.0,0.8,0.0,1,0
54,0.8703703703703703,0.7777777777777778,13.04255319148936,10,0
142,0.176056338028169,0.5985915492957746,23.92,9,0
439,0.0250569476082004,0.9498861047835992,16.09090909090909,9,0
47,0.0,0.5531914893617021,0.0,1,0
17,0.2352941176470588,0.4117647058823529,44.25,5,0
25,0.08,0.72,168.0,4,0
11,0.0,0.9090909090909092,0.0,2,0
5,0.0,0.8,0.0,2,0
31,0.032258064516129,0.8709677419354839,27.0,4,0
30,0.0,0.8666666666666667,0.0,3,0
1,0.0,1.0,0.0,1,0
106,0.0,0.8113207547169812,0.0,8,0
2,0.0,1.0,0.0,1,0
26,0.0,0.6923076923076923,0.0,1,0
29,0.9310344827586208,0.7586206896551724,83.11111111111111,5,0
63,0.0952380952380952,0.5079365079365079,12.333333333333334,12,0
32,0.0,0.75,0.0,4,0
42,0.0,0.8571428571428571,0.0,21,0
145,0.0344827586206896,0.8620689655172413,9.0,10,0
2,0.0,0.5,0.0,2,0
382,0.0052356020942408,0.7931937172774869,11.0,48,0
3,1.0,0.6666666666666666,719.6666666666666,3,0
11,0.0,0.6363636363636364,0.0,1,0
77,0.6103896103896104,0.935064935064935,11.808510638297872,21,0
52,0.0,0.5769230769230769,0.0,19,0
18,0.0,0.7222222222222222,0.0,1,0
10,0.1,1.0,10.0,2,0
495,0.0888888888888888,0.8444444444444444,68.5909090909091,51,0
47,0.0,0.5531914893617021,0.0,1,0
379,0.9604221635883904,0.5989445910290238,759.5989010989011,202,0
174,0.0057471264367816,0.7758620689655172,9.0,2,0
315,0.0825396825396825,0.8,26.46153846153846,26,0
1,1.0,1.0,30.0,1,0
1,1.0,1.0,19.0,1,0
47,0.0,0.9148936170212766,0.0,1,0
15,0.0,0.8666666666666667,0.0,2,0
11,0.0,0.8181818181818182,0.0,2,0
19,0.0,0.6842105263157895,0.0,2,0
2,1.0,0.5,32.0,2,0
153,0.9281045751633988,0.6013071895424836,9.014084507042254,45,0
22,0.9090909090909092,0.5,49.25,10,0
63,0.2539682539682539,0.6825396825396826,231.375,16,0
133,0.0075187969924812,0.8195488721804511,59.0,20,0
